artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,duration_ms,song_popularity,popularity,sentiment,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,audio_mode_0.0,audio_mode_1.0,time_signature_1.0,time_signature_3.0,time_signature_4.0,time_signature_5.0
Woo,0.782,0.779,0.497,0.000172,0.139,-8.773,0.227,87.026,0.522,268759.0,45,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Brave Girls,0.11,0.77,0.884,0.0,0.0806,-1.445,0.0503,115.062,0.339,188053.0,35,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
장지수 (Sou),0.29,0.926,0.73,0.0,0.101,-5.712,0.298,108.97,0.545,179421.0,31,0,-0.3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
LEENU,0.613,0.505,0.56,0.0,0.124,-4.532,0.0309,131.958,0.178,227897.0,25,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Goyo,0.455,0.711,0.86,0.0,0.331,-5.126,0.369,160.167,0.824,211360.0,24,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
J.Fla,0.653,0.742,0.342,2.21e-06,0.151,-6.051,0.0361,82.034,0.583,133000.0,31,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
RAUDI,0.519,0.689,0.627,0.0,0.116,-6.421,0.294,87.472,0.556,178197.0,24,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Hwang Chi Yeul,0.624,0.404,0.481,0.0,0.0967,-5.352,0.0286,137.202,0.498,233560.0,31,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Grizzly,0.118,0.696,0.571,0.0,0.103,-3.897,0.0487,81.998,0.635,220160.0,38,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
ZHOUMI,0.17,0.772,0.873,0.000471,0.22,-2.118,0.0511,95.958,0.713,195400.0,41,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
AARON,0.352,0.582,0.827,0.0,0.106,-3.428,0.0582,130.164,0.633,197553.0,38,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
B.I,0.244,0.77,0.659,0.0,0.0576,-6.181,0.198,67.496,0.649,175716.0,59,1,0.11666666666666665,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
LIM KIM,0.521,0.624,0.535,1.07e-06,0.11,-6.669,0.0257,104.013,0.693,247446.0,29,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
STH,0.293,0.521,0.559,0.0,0.17,-4.972,0.0274,123.984,0.192,249467.0,26,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Sonnet,0.33,0.588,0.772,0.0,0.106,-3.506,0.0664,79.963,0.325,206240.0,35,0,-0.4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
RIO,0.89,0.521,0.183,0.0,0.102,-11.277,0.0338,135.56,0.225,226000.0,41,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Yebit,0.457,0.398,0.623,0.0,0.116,-4.538,0.0366,178.993,0.51,191133.0,39,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
Hoody,0.544,0.666,0.58,0.0,0.174,-7.703,0.189,91.818,0.588,202035.0,36,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Pa!nter,0.185,0.611,0.855,0.0,0.0741,-3.274,0.0543,80.01,0.803,159227.0,22,0,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Kim Pil Sun,0.928,0.667,0.177,1.07e-05,0.101,-9.943,0.0356,62.026,0.38,240493.0,21,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
Rothy,0.462,0.321,0.705,0.0,0.11,-3.859,0.0397,159.04,0.248,179253.0,41,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
Monday Kiz,0.483,0.397,0.671,0.0,0.188,-4.858,0.0517,134.271,0.177,218613.0,36,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Room306,0.753,0.684,0.699,1.16e-05,0.0788,-7.371,0.3,75.032,0.395,176966.0,22,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Mew,0.756,0.544,0.353,0.000153,0.114,-8.365,0.029,121.863,0.0974,247444.0,18,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
JOO SEOL OK,0.374,0.562,0.522,0.0,0.153,-4.416,0.0298,129.853,0.207,261093.0,20,0,-0.09999999999999998,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
Smiley DeBron,0.0594,0.848,0.59,0.0,0.109,-5.239,0.0632,118.987,0.0959,180570.0,20,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Cha Woo Joo,0.295,0.382,0.751,0.0,0.424,-3.903,0.0366,175.939,0.35,221124.0,5,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NINE to SIX,0.021,0.783,0.873,0.0,0.285,-4.409,0.197,95.046,0.729,183750.0,38,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
HAMIN(BXB),0.512,0.689,0.58,0.0,0.16,-5.292,0.0281,90.989,0.363,214080.0,33,0,-0.05,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Dorico,0.0745,0.605,0.795,0.0,0.0571,-4.554,0.342,127.139,0.759,167244.0,17,0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Merry apple,0.665,0.541,0.316,0.0,0.0983,-4.834,0.028,154.135,0.455,271413.0,16,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
