,title,artist,album,uri,year,acousticness,danceability,key,energy,instrumentalness,liveness,loudness,audio_mode,speechiness,tempo,valence,duration_ms,time_signature,song_popularity
0,FAKE LOVE,BTS,Love Yourself 轉 'Tear',spotify:track:6m1TWFMeon7ai9XLOzdbiR,2018,0.00267,0.557,2,0.719,0.0,0.306,-4.515,0,0.0371,77.502,0.345,242334,4,79
1,DDU-DU DDU-DU,BLACKPINK,SQUARE UP,spotify:track:4lQsB3ERTWSNaAN1IkuNRl,2018,0.036,0.668,4,0.828,0.0,0.0932,-5.034,0,0.0739,140.042,0.393,211350,4,76
2,Tempo,EXO,DON’T MESS UP MY TEMPO – The 5th Album,spotify:track:4EjUFjzi4ErWjklOA3Aslu,2018,0.237,0.686,0,0.842,0.0,0.0683,-4.423,1,0.1,115.944,0.519,224483,4,65
3,What is Love,TWICE,Summer Nights,spotify:track:3zhbXKFjUDw40pTYyCgt1Y,2018,0.0987,0.574,8,0.909,0.0,0.264,-1.573,1,0.0658,169.966,0.569,208240,4,77
4,Bad Boy,Red Velvet,The Perfect Red Velvet - The 2nd Album Repackage,spotify:track:5GKwq4sO5ZHKuWaDmdwMQc,2018,0.191,0.714,2,0.736,0.0,0.0553,-3.801,1,0.0457,149.985,0.814,210818,4,74
5,Don't Wanna Cry,SEVENTEEN,SEVENTEEN 4th Mini Album ‘Al1’,spotify:track:6Upu6yjkdi0DVI8E3IBZEU,2018,0.164,0.781,0,0.683,1.53e-06,0.16,-4.258,1,0.0325,100.005,0.722,203427,4,71
6,FLOWER ROAD,BIGBANG,FLOWER ROAD,spotify:track:5tmKSkKHNVrxh4Fctj2TdS,2018,0.124,0.71,1,0.654,0.0,0.15,-4.765,0,0.0858,94.862,0.624,228632,4,53
7,LOVE SCENARIO,iKON,Return,spotify:track:3d3ELsqKlQ7WA0a10Isu3l,2018,0.331,0.806,7,0.707,0.0,0.294,-4.623,1,0.0307,118.009,0.746,209648,4,72
8,Lullaby,GOT7,Present : YOU,spotify:track:2iXvnjL5CH66UpnGjXHDmZ,2018,0.015,0.727,0,0.888,0.0,0.113,-2.756,1,0.0881,129.993,0.726,217486,4,56
9,DRAMARAMA,MONSTA X,THE CODE,spotify:track:1BSncOsSJPQkpl29QM0ipj,2018,0.135,0.571,8,0.779,0.0,0.202,-2.864,1,0.111,186.154,0.261,186296,4,56
10,BBoom BBoom,MOMOLAND,GREAT!,spotify:track:3BPoSr2pO34Aan6alFfVto,2018,0.0149,0.785,3,0.744,0.00666,0.0661,-4.249,0,0.0369,126.018,0.833,208863,4,67
11,Countless,SHINee,The Story of Light' Epilogue - The 6th Album,spotify:track:6mI6dpwRDteVr3ZQsDeD6e,2018,0.0251,0.679,10,0.829,0.0,0.068,-5.166,0,0.072,97.043,0.604,188678,4,45
12,Simon Says,NCT 127,NCT #127 Regulate - The 1st Album Repackage,spotify:track:1zedfw5iu7XzKJT8CupEIP,2018,0.218,0.653,9,0.836,0.0,0.0507,-6.018,1,0.238,151.977,0.569,199773,4,60
13,REALLY REALLY,WINNER,FATE NUMBER FOR,spotify:track:4iJyTp1KwCeBKhf7h0SwsD,2018,0.167,0.765,2,0.77,0.0,0.0854,-3.16,1,0.0592,103.005,0.581,203057,4,65
14,Lo Siento,SUPER JUNIOR,REPLAY - The 8th Repackage Album,spotify:track:2VVqxQhALecXvaArlZSVXr,2018,0.0705,0.746,9,0.738,0.0,0.043,-3.67,1,0.207,94.808,0.63,226184,4,55
15,All I Wanna Do (K) (Feat. Hoody & Loco),Jay Park,EVERYTHING YOU WANTED,spotify:track:2FWquqPNxte8iqZ3ATQG0p,2018,0.377,0.403,8,0.724,0.0,0.0927,-6.064,1,0.246,97.133,0.428,216786,4,67
16,BOSS,NCT,NCT 2018 EMPATHY,spotify:track:0ErzcmZ2gIwX7X0xSMQPix,2018,0.0233,0.787,10,0.543,0.0,0.0861,-6.7,0,0.037,99.026,0.332,210641,4,66
17,BBIBBI,IU,BBIBBI,spotify:track:4as4XEOR03oGm1STUKl6pa,2018,0.241,0.839,7,0.617,0.0,0.3,-4.692,1,0.331,143.894,0.821,194426,4,69
18,Daydream (백일몽),j-hope,Hope World,spotify:track:56sdcbPR74RxqmKVbQzJ8s,2018,0.00512,0.749,8,0.961,0.0,0.175,-6.518,0,0.0874,116.037,0.859,228759,4,66
19,Energetic,Wanna One,1-1=0 (NOTHING WITHOUT YOU),spotify:track:3NkkcnnKrNHv4AiGaPdD76,2018,0.058,0.714,0,0.886,0.0,0.112,-3.076,1,0.0461,125.046,0.752,189356,4,63
20,Gashina,SUNMI,SUNMI SPECIAL EDITION [Gashina],spotify:track:0jFHMDRXxKaREor3hBEEST,2018,0.0556,0.722,6,0.833,0.0,0.195,-3.915,1,0.094,93.941,0.53,180000,4,67
21,Egotistic,MAMAMOO,RED MOON,spotify:track:3a7OyTsoZ8CCBdvEEvzLBv,2018,0.318,0.617,3,0.83,0.0,0.176,-3.312,0,0.0689,97.912,0.614,196018,4,65
22,Shoot Me,DAY6,Shoot Me : Youth Part 1,spotify:track:3cl6BsTDeeGRbgug5TXrvg,2018,0.0683,0.583,1,0.916,0.0,0.0489,-1.396,1,0.149,167.933,0.732,175837,4,63
23,instagram,DEAN,instagram,spotify:track:6z1kLsntE7FuzKZHZWrXYN,2018,0.196,0.463,8,0.566,0.0,0.284,-6.195,1,0.145,93.921,0.219,255729,4,68
24,My Pace,Stray Kids,I am WHO,spotify:track:48MDKHuJ6qte0kAaI25JnN,2018,0.0577,0.682,11,0.83,0.0,0.0926,-4.234,0,0.254,155.122,0.784,189325,4,57
25,Shine,PENTAGON,Positive,spotify:track:7nkp1uuSbKkoxMvEs8cSw0,2018,0.411,0.74,3,0.804,0.0,0.0578,-2.187,1,0.0546,150.013,0.791,198796,4,66
26,LATATA,(G)I-DLE,I am,spotify:track:2ezKXygNO30pXyDQXkm6oD,2018,0.00427,0.774,9,0.792,1.15e-06,0.283,-4.019,0,0.224,98.1,0.505,202773,4,66
27,Lil’ Touch,Girls' Generation-Oh!GG,Lil' Touch - The 1st Single,spotify:track:4D5Ode2OfZMxIwQyvmhUe8,2018,0.0114,0.791,11,0.789,0.0,0.301,-4.694,0,0.104,112.11,0.669,189846,4,58
28,Something New,TAEYEON,Something New - The 3rd Mini Album,spotify:track:6oDX7N6VnXSyLdyGsDP5jV,2018,0.15,0.679,6,0.88,3.87e-05,0.575,-2.344,0,0.239,98.022,0.789,200440,4,45
29,DDD,EXID,Full Moon,spotify:track:3nXUfNbkv8ikaSdHwEp0oY,2018,0.0806,0.718,11,0.794,0.0,0.0679,-2.877,0,0.0703,114.285,0.751,205821,4,55
30,Ride on the wind,KARD,KARD 3rd Mini Album 'RIDE ON THE WIND',spotify:track:7gQWTvDx7VJRzeRbnlyIm4,2018,0.163,0.727,11,0.808,0.0,0.187,-3.66,1,0.106,115.02,0.761,176632,4,44
