,title,artist,album,uri,year,acousticness,danceability,key,energy,instrumentalness,liveness,loudness,audio_mode,speechiness,tempo,valence,duration_ms,time_signature,song_popularity
0,Weekend,TAEYEON,Weekend,spotify:track:6cqH1q7g5GeRVQVMK1Vc7f,2021,0.0783,0.74,8,0.854,0.000532,0.253,-2.209,1,0.0525,114.029,0.856,233413,4,60
1,In the morning,ITZY,GUESS WHO,spotify:track:2QdH0rKlV3d9Y6lWzcnlBH,2021,0.0825,0.847,11,0.814,0.000507,0.0948,-4.668,0,0.152,140.057,0.711,172359,4,1
2,Tamed-Dashed,ENHYPEN,DIMENSION : DILEMMA,spotify:track:1zoyteFQmeUUqyOl2Xznpy,2021,0.000253,0.568,11,0.809,3.33e-05,0.151,-3.869,0,0.0517,155.029,0.709,196170,4,70
3,FEVER,ENHYPEN,BORDER : CARNIVAL,spotify:track:0UzymivvUH5s8z4PeWZJaK,2021,0.0642,0.6,6,0.713,0.0,0.142,-5.079,0,0.0592,72.999,0.471,172107,4,78
4,Hot Sauce,NCT DREAM,Hot Sauce - The 1st Album,spotify:track:6B8MM3PVQtUbZLay7tP7er,2021,0.0127,0.769,6,0.926,0.0,0.285,-1.627,1,0.0788,100.034,0.551,195813,4,71
5,After School,Weeekly,We play,spotify:track:52CBUrIdyf8tbZaUY9iawE,2021,0.00719,0.634,1,0.928,2.55e-06,0.0626,-1.609,1,0.0514,164.007,0.738,205373,4,71
6,Hello Future,NCT DREAM,Hello Future - The 1st Album Repackage,spotify:track:332GJ8ykVuEt3jOT1sy7j6,2021,0.0261,0.545,1,0.803,0.0,0.114,-2.283,1,0.0526,170.006,0.5,220920,4,71
7,PTT (Paint The Town),LOONA,[&],spotify:track:5awNIWVrh2ISfvPd5IUZNh,2021,0.0735,0.781,8,0.814,1.92e-05,0.0565,-2.437,1,0.1,124.028,0.546,201120,4,66
8,Queendom,Red Velvet,Queendom - The 6th Mini Album,spotify:track:6SpPr7K4YQ2wp8jU6uOTmQ,2021,0.179,0.695,5,0.896,0.0,0.0626,-1.24,1,0.0847,119.959,0.508,181760,4,69
9,Drunk-Dazed,ENHYPEN,BORDER : CARNIVAL,spotify:track:1wcr8DjnN59Awev8nnKpQ4,2021,0.000707,0.599,5,0.869,0.0,0.0911,-5.174,0,0.0618,132.889,0.453,193260,4,79
10,ASAP,STAYC,STAYDOM,spotify:track:5BXr7hYZQOeRttkeWYTq5S,2021,0.102,0.764,0,0.802,0.0,0.189,-4.217,1,0.0351,132.02,0.323,194080,4,70
11,GLASSY,JO YURI,GLASSY,spotify:track:6PFfx4sEBWPuFqFB0mgX1D,2021,0.23,0.723,6,0.725,0.0,0.0683,-3.815,1,0.0551,125.048,0.731,189933,4,59
12,0X1=LOVESONG (I Know I Love You) feat. Seori,TOMORROW X TOGETHER,The Chaos Chapter: FREEZE,spotify:track:1Z8TPHiKeCUyClxV6WTTIf,2021,0.0558,0.584,0,0.836,0.0,0.0663,-4.925,1,0.079,104.973,0.484,202204,4,76
13,Alcohol-Free,TWICE,Alcohol-Free,spotify:track:6HTwoo4dUOvePNqMsTarPA,2021,0.0474,0.688,8,0.909,1.35e-06,0.0674,-1.992,1,0.0624,97.097,0.702,210573,4,0
14,LILAC,IU,IU 5th Album 'LILAC',spotify:track:5xrtzzzikpG3BLbo4q1Yul,2021,0.0895,0.738,2,0.89,1.89e-06,0.213,-2.275,0,0.0748,114.942,0.75,214253,4,73
15,LOCO,ITZY,CRAZY IN LOVE,spotify:track:5b8FtevTVz8xVF6E208xeV,2021,0.0109,0.764,1,0.886,2.21e-05,0.325,-3.067,1,0.177,102.012,0.497,191462,4,1
16,Next Level,aespa,Next Level,spotify:track:2zrhoHlFKxFTRF5aMyxMoQ,2021,0.488,0.82,11,0.852,5.94e-06,0.0907,-2.567,0,0.166,109.036,0.82,221573,4,74
17,Anti-Romantic,TOMORROW X TOGETHER,The Chaos Chapter: FREEZE,spotify:track:44tTqUi3xi7E28QLzHVdUA,2021,0.0509,0.641,0,0.489,0.0,0.071,-8.668,0,0.11,142.977,0.206,215188,4,72
18,ONLY,LeeHi,4 ONLY,spotify:track:6TBJkXHPhu3EsMk1bshwuI,2021,0.892,0.536,5,0.296,0.0,0.0873,-7.451,1,0.0346,122.907,0.151,240907,3,79
19,LO$ER=LO♡ER,TOMORROW X TOGETHER,The Chaos Chapter: FIGHT OR ESCAPE,spotify:track:21aOLk12MksET8AsbU0SI6,2021,0.001,0.644,11,0.867,0.0,0.105,-4.18,0,0.0383,124.997,0.687,199919,4,75
20,LALISA,LISA,LALISA,spotify:track:10BfqdiV5PhV1UYsMEyou1,2021,0.0267,0.804,8,0.652,0.000782,0.118,-6.282,1,0.0898,150.076,0.854,200690,4,54
21,The Feels,TWICE,The Feels,spotify:track:1XyzcGhmO7iUamSS94XfqY,2021,0.0899,0.808,9,0.903,0.0,0.0816,-2.179,1,0.0729,120.044,0.922,198053,4,2
22,Savage,aespa,Savage - The 1st Mini Album,spotify:track:3dbLT62Cvs46Ju7a8gpr36,2021,0.124,0.727,9,0.879,1.17e-05,0.244,-1.167,1,0.129,146.959,0.671,238144,4,74
23,STEREOTYPE,STAYC,STEREOTYPE,spotify:track:2bZIDMpzVooosmPHn0tHnd,2021,0.313,0.605,6,0.805,0.0,0.659,-3.212,1,0.0641,148.298,0.738,191696,4,70
24,Favorite (Vampire),NCT 127,Favorite - The 3rd Album Repackage,spotify:track:3rR9kTA6mD9LbmsCE0QWEY,2021,0.000831,0.561,5,0.758,3.08e-06,0.15,-3.87,0,0.0478,149.944,0.178,215587,4,61
25,Pose,Red Velvet,Queendom - The 6th Mini Album,spotify:track:6RTF5urAOB5C52nLxeRK5h,2021,0.0617,0.841,10,0.831,0.0,0.101,-3.675,0,0.0526,124.965,0.762,200680,4,57
26,I'll Make You Cry,aespa,Savage - The 1st Mini Album,spotify:track:6l1dTAhX7P6EKvA11NLNuW,2021,0.0861,0.606,1,0.896,0.0,0.235,-3.098,1,0.11,164.939,0.64,214853,4,59
27,YEPPI YEPPI,aespa,Savage - The 1st Mini Album,spotify:track:3UKKwGrpWWamc0XNSKXjmz,2021,0.0546,0.783,11,0.872,0.0391,0.029,-2.416,1,0.174,124.993,0.708,213560,4,63
