,title,artist,album,uri,year,acousticness,danceability,key,energy,instrumentalness,liveness,loudness,audio_mode,speechiness,tempo,valence,duration_ms,time_signature,song_popularity
0,Dynamite,BTS,BE,spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,2022,0.0112,0.746,6,0.765,0.0,0.0936,-4.41,0,0.0993,114.044,0.737,199054,4,83
1,Butter,BTS,"Butter (Hotter, Sweeter, Cooler)",spotify:track:1mWdTewIgB3gtBM3TOSFhB,2022,0.00323,0.759,8,0.459,0.0,0.0906,-5.187,1,0.0948,109.997,0.695,164442,4,73
2,Pink Venom,BLACKPINK,BORN PINK,spotify:track:5zwwW9Oq7ubSxoCGyW1nbY,2022,0.0145,0.693,4,0.734,0.0,0.217,-6.189,1,0.202,180.06,0.708,186964,4,78
3,MONEY,LISA,LALISA,spotify:track:7hU3IHwjX150XLoTVmjD0q,2022,0.161,0.831,1,0.554,6.12e-05,0.152,-9.998,0,0.218,140.026,0.396,168228,4,81
4,Yet To Come,BTS,Proof,spotify:track:10SRMwb9EuVS1K9rYsBfHQ,2022,0.0432,0.559,1,0.885,0.0,0.333,-4.515,1,0.189,172.029,0.683,193594,4,79
5,LOVE DIVE,IVE,LOVE DIVE,spotify:track:0Q5VnK2DYzRyfqQRJuUtvi,2022,0.00379,0.703,1,0.709,5.43e-05,0.333,-4.169,0,0.0433,117.941,0.538,177187,4,83
6,Shut Down,BLACKPINK,BORN PINK,spotify:track:7gRFDGEzF9UkBV233yv2dc,2022,0.00327,0.818,0,0.69,0.0,0.186,-5.119,1,0.0454,110.071,0.688,175889,3,78
7,Christmas Tree,V,"Our Beloved Summer (Original Television Soundtrack), Pt. 5",spotify:track:186NCtNk1tUYS7c2DxgJ7O,2022,0.699,0.437,5,0.384,2.33e-05,0.121,-8.384,1,0.042,139.009,0.181,209947,4,81
8,Permission to Dance,BTS,Permission to Dance,spotify:track:3XYRV7ZSHqIRDG87DKTtry,2022,0.00544,0.702,9,0.741,0.0,0.337,-5.33,1,0.0427,124.925,0.646,187585,4,78
9,With you,Jimin,"Our Blues, Pt. 4 (Original Television Soundtrack)",spotify:track:2gzhQaCTeNgxpeB2TPllyY,2022,0.639,0.532,3,0.426,0.0,0.134,-6.117,1,0.0288,149.898,0.137,201905,3,76
10,Stay Alive (Prod. SUGA of BTS),Jung Kook,Stay Alive (Prod. SUGA of BTS),spotify:track:7CAdT0HdiQNlt1C7xk2hep,2022,0.299,0.512,2,0.76,0.0,0.103,-5.889,0,0.0682,130.096,0.495,210928,4,80
11,Boy With Luv (feat. Halsey),BTS,MAP OF THE SOUL : PERSONA,spotify:track:4a9tbd947vo9K8Vti9JwcI,2022,0.0933,0.645,11,0.862,0.0,0.193,-4.761,0,0.0845,119.947,0.803,229773,4,79
12,The Feels,TWICE,The Feels,spotify:track:1utDFK1ARQcuZSwapf3cfb,2022,0.0899,0.808,9,0.903,0.0,0.0816,-2.179,1,0.0729,120.044,0.922,198053,4,66
13,Run BTS,BTS,Proof,spotify:track:69xohKu8C1fsflYAiSNbwM,2022,0.0201,0.724,8,0.818,0.0,0.0358,-3.747,1,0.168,77.004,0.696,204940,4,84
14,ELEVEN,IVE,ELEVEN,spotify:track:7n2FZQsaLb7ZRfRPfEeIvr,2022,0.0617,0.828,9,0.731,0.0,0.048,-3.033,1,0.111,119.978,0.587,178453,4,79
15,Polaroid Love,ENHYPEN,DIMENSION : ANSWER,spotify:track:5elW2CKSoqjYoJ32AGDxf1,2022,0.458,0.738,7,0.67,0.0,0.361,-3.766,0,0.0439,138.055,0.651,184602,4,79
16,How You Like That,BLACKPINK,THE ALBUM,spotify:track:4SFknyjLcyTLJFPKD2m96o,2022,0.0465,0.812,11,0.761,0.000135,0.0601,-5.222,1,0.0812,130.032,0.344,182956,4,79
