,title,artist,album,uri,year,acousticness,danceability,key,energy,instrumentalness,liveness,loudness,audio_mode,speechiness,tempo,valence,duration_ms,time_signature,song_popularity
17,That That (prod. & feat. SUGA of BTS),PSY,PSY 9th,spotify:track:7GNRUsU3M4XNDDB9xle5Dz,2022,0.0299,0.905,4,0.962,0.0,0.0272,-3.197,1,0.0856,129.969,0.906,174647,4,77
18,DARARI,TREASURE,THE SECOND STEP : CHAPTER ONE,spotify:track:0dcnrLo8s1rhjm8euGjI4n,2022,0.486,0.716,0,0.638,0.0,0.0702,-6.87,1,0.0392,84.955,0.552,220716,4,77
19,MANIAC,Stray Kids,ODDINARY,spotify:track:63irPUP3xB74fHdw1Aw9zR,2022,0.154,0.581,1,0.8,0.0,0.0697,-2.613,1,0.411,119.872,0.709,182758,5,79
20,POP!,NAYEON,IM NAYEON,spotify:track:3lOMJTQTd6J34faYwASc33,2022,0.0361,0.795,2,0.859,0.0,0.0321,-2.994,1,0.0542,96.986,0.356,168107,4,78
21,WA DA DA,Kep1er,FIRST IMPACT,spotify:track:4gdiCHNbwugojBqr5Jt3pq,2022,0.00122,0.785,10,0.907,3.11e-06,0.213,-2.657,1,0.0938,126.004,0.685,183693,4,69
22,FEARLESS,LE SSERAFIM,FEARLESS,spotify:track:296nXCOv97WJNRWzIBQnoj,2022,0.0508,0.863,7,0.62,0.00324,0.129,-7.167,1,0.135,103.971,0.432,168437,4,80
23,Life Goes On,BTS,BE,spotify:track:5FVbvttjEvQ8r2BgUcJgNg,2022,0.00691,0.566,1,0.716,0.0,0.37,-5.733,1,0.0424,81.068,0.45,207481,4,78
24,TOMBOY,(G)I-DLE,I NEVER DIE,spotify:track:0IGUXY4JbK18bu9oD4mPIm,2022,0.00988,0.755,1,0.87,0.0,0.0917,-2.414,0,0.0936,124.032,0.645,174387,4,79
25,Euphoria,BTS,Love Yourself 結 'Answer',spotify:track:5YMXGBD6vcYP7IolemyLtK,2022,0.394,0.637,2,0.799,0.0,0.0921,-4.518,1,0.0338,104.996,0.57,228615,4,79
26,LALISA,LISA,LALISA,spotify:track:7uQZVznj0uQOGC9KhV2Mg6,2022,0.0282,0.806,8,0.653,0.000784,0.107,-6.283,1,0.0902,150.058,0.85,200690,4,75
27,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',spotify:track:0a4MMyCrzT0En247IhqZbD,2022,0.268,0.593,4,0.935,0.0,0.286,-3.43,0,0.225,99.976,0.783,179027,4,87
28,After LIKE,IVE,After LIKE,spotify:track:2gYj9lubBorOPIVWsTXugG,2022,0.103,0.68,0,0.922,0.0,0.0877,-1.215,1,0.121,125.014,0.799,176973,4,84
29,ZOOM,Jessi,ZOOM,spotify:track:4IaxDf2FixiQXq0mW7key9,2022,0.00942,0.874,6,0.6,0.0,0.126,-6.064,1,0.158,100.012,0.457,174840,4,73
30,MORE,j-hope,MORE,spotify:track:4XKXphKH76W4zNpkgFS5o2,2022,0.00537,0.783,2,0.722,0.00209,0.105,-4.864,1,0.0357,97.031,0.306,180022,4,69
31,FAKE LOVE,BTS,Love Yourself 轉 'Tear',spotify:track:6m1TWFMeon7ai9XLOzdbiR,2022,0.00267,0.557,2,0.719,0.0,0.306,-4.515,0,0.0371,77.502,0.345,242334,4,79
32,LOCO,ITZY,CRAZY IN LOVE,spotify:track:56Yxkm62GtEpnPyG7TvwLY,2022,0.0103,0.759,1,0.886,2.04e-05,0.342,-3.067,1,0.187,102.065,0.489,191462,4,75
33,Kill This Love,BLACKPINK,KILL THIS LOVE,spotify:track:6hvczQ05jc1yGlp9zhb95V,2022,0.323,0.763,2,0.835,0.00221,0.225,-5.234,0,0.191,131.875,0.645,191050,4,78
34,O.O,NMIXX,AD MARE,spotify:track:3lrNsPdn98i6rxO142pLT6,2022,0.0354,0.39,11,0.767,4.26e-06,0.0601,-3.918,0,0.293,200.263,0.285,172936,4,73
35,Filter,BTS,MAP OF THE SOUL : 7,spotify:track:4bZZVcgWWMWPBwzTTp642w,2022,0.0224,0.779,10,0.762,0.0,0.121,-5.188,0,0.0631,110.043,0.859,180221,4,75
36,Step Back,GOT the beat,Step Back,spotify:track:3LCwQoTrdQgHsGJE5gGVqx,2022,0.0205,0.636,1,0.81,1.04e-05,0.596,-2.035,1,0.101,161.897,0.611,228613,4,71
37,Attention,NewJeans,NewJeans 1st EP 'New Jeans',spotify:track:2pIUpMhHL6L9Z5lnKxJJr9,2022,0.236,0.811,10,0.648,0.0,0.0761,-3.684,0,0.0368,104.988,0.695,180067,4,84
38,DDU-DU DDU-DU,BLACKPINK,SQUARE UP,spotify:track:4lQsB3ERTWSNaAN1IkuNRl,2022,0.036,0.668,4,0.828,0.0,0.0932,-5.034,0,0.0739,140.042,0.393,211350,4,76
39,FEVER,ENHYPEN,BORDER : CARNIVAL,spotify:track:0UzymivvUH5s8z4PeWZJaK,2022,0.0642,0.6,6,0.713,0.0,0.142,-5.079,0,0.0592,72.999,0.471,172107,4,78
40,Lovesick Girls,BLACKPINK,THE ALBUM,spotify:track:4Ws314Ylb27BVsvlZOy30C,2022,0.00559,0.654,6,0.707,0.0,0.0873,-5.661,1,0.0664,127.97,0.448,194765,4,75
41,Talk that Talk,TWICE,BETWEEN 1&2,spotify:track:0RDqNCRBGrSegk16Avfzuq,2022,0.136,0.772,3,0.907,0.0,0.334,-2.438,0,0.124,119.973,0.783,177467,4,78
42,Thunderous,Stray Kids,NOEASY,spotify:track:0nwTMzpatarzvLvtwwzdCt,2022,0.213,0.601,1,0.786,0.0,0.209,-3.706,1,0.234,172.156,0.79,183267,4,76
43,Feel My Rhythm,Red Velvet,‘The ReVe Festival 2022 - Feel My Rhythm’,spotify:track:2oBMZYteeO8DyXV9gDx6Za,2022,0.0648,0.412,1,0.94,0.0,0.358,-2.171,1,0.215,157.964,0.423,210253,4,75
44,SOLO,JENNIE,SOLO,spotify:track:2wVDWtLKXunswWecARNILj,2022,0.0861,0.751,3,0.642,0.0,0.0953,-5.165,0,0.087,95.045,0.388,169567,4,75
45,ONLY,LeeHi,4 ONLY,spotify:track:6TBJkXHPhu3EsMk1bshwuI,2022,0.892,0.536,5,0.296,0.0,0.0873,-7.451,1,0.0346,122.907,0.151,240907,3,79
46,Blood Sweat & Tears,BTS,Wings,spotify:track:2u54HNQamwFuOMLSuhSRom,2022,0.0244,0.584,0,0.885,0.0,0.357,-3.571,0,0.104,92.9,0.605,217052,4,75
47,DNA,BTS,Love Yourself 承 'Her',spotify:track:3uRLwBjI2TahxslcMTvpFs,2022,0.0217,0.599,1,0.775,0.0,0.0678,-4.018,0,0.0543,129.817,0.696,223123,4,73
48,Savage,aespa,Savage - The 1st Mini Album,spotify:track:3dbLT62Cvs46Ju7a8gpr36,2022,0.124,0.727,9,0.879,1.17e-05,0.244,-1.167,1,0.129,146.959,0.671,238144,4,74
49,I CAN'T STOP ME,TWICE,Eyes Wide Open,spotify:track:37ZtpRBkHcaq6hHy0X98zn,2022,0.121,0.657,10,0.88,0.0,0.463,-3.672,0,0.102,150.084,0.769,205493,4,75
