,title,artist,album,uri,year,acousticness,danceability,key,energy,instrumentalness,liveness,loudness,audio_mode,speechiness,tempo,valence,duration_ms,time_signature,song_popularity
0,Magic,SUPER JUNIOR,MAGIC - SUPER JUNIOR SPECIAL ALBUM PART.2,spotify:track:7Mn9begcwfZ7utquTWUmjV,2015,0.076,0.71,5,0.897,0.0,0.217,-3.57,1,0.0417,114.982,0.615,215102,4,42
1,Eureka (Feat. Zion.T),ZICO,GALLERY,spotify:track:2MNv9hlHsQUlxG00IKNxUY,2015,0.0298,0.736,7,0.806,0.0,0.0847,-2.709,1,0.328,119.936,0.763,183996,5,0
2,NAPAL BAJI,PSY,PSY 7TH ALBUM,spotify:track:448m3Ci1NB9ggSzfJWdN6I,2015,0.0371,0.792,7,0.828,0.0,0.278,-3.099,0,0.0423,126.989,0.721,223215,4,0
3,다시 해줘 Do it again,TWICE,THE STORY BEGINS,spotify:track:1HON0JUwVn1N8cnxcUTIC4,2015,0.00809,0.732,7,0.935,0.000598,0.128,-0.948,1,0.0387,136.979,0.816,206546,4,0
4,Um Oh Ah Yeh,MAMAMOO,Pink Funky,spotify:track:0icGgAiUx5b0amQLycmGUr,2015,0.128,0.729,7,0.893,0.0,0.167,-1.896,1,0.0476,104.977,0.453,214088,4,49
5,Beautiful,AMBER,Beautiful - The 1st Mini Album,spotify:track:1RgJweMenmMoAvy8e8AkSA,2015,0.764,0.633,4,0.262,0.0,0.121,-11.516,1,0.0361,99.978,0.471,177336,4,26
6,LOSER,BIGBANG,MADE,spotify:track:4a1FFgdBIbAvyn4d40YAPZ,2015,0.404,0.648,0,0.681,0.0,0.329,-4.251,0,0.0937,89.947,0.488,219429,4,0
7,"Young, Wild & Free",B.A.P,MATRIX,spotify:track:4PZVJmxvTsvpPMs8AuwVCJ,2015,0.0549,0.483,11,0.922,0.0,0.0906,-4.328,1,0.234,165.157,0.642,189440,4,36
8,HERO,MONSTA X,RUSH,spotify:track:6gorwqDJ7bsdCHcVs5uS9u,2015,0.0754,0.683,5,0.893,0.0,0.226,-3.086,0,0.162,146.082,0.909,231952,4,58
9,I'm Ill,HELLOVENUS,Hellovenus 5Th Mini Album `I'm Ill`,spotify:track:6y6s8bBPRVWonRVth2HxQn,2015,0.0375,0.705,10,0.986,0.0,0.0989,-2.202,1,0.047,131.988,0.68,202858,4,0
10,우리집 My House,2PM,No.5,spotify:track:2SbI8MKMi9RYfojLhkuB46,2015,0.00148,0.557,6,0.739,0.0,0.0663,-3.686,0,0.254,176.001,0.768,187644,4,0
11,다른 남자 말고 너 Only You,miss A,Colors,spotify:track:23tsPJxoPHeg4Lt211MRDb,2015,0.0526,0.638,0,0.773,0.0,0.276,-3.155,1,0.132,168.077,0.438,198009,4,0
12,CUPID,KARA,KARA 7th Mini Album 'In Love',spotify:track:07hKkdYLE3brEV4WelMT7z,2015,0.00532,0.768,6,0.845,2.43e-06,0.0916,-2.567,0,0.0644,122.003,0.861,205793,4,41
13,Hellovenus 5th Single `위글위글`,HELLOVENUS,Hellovenus 5th Single `위글위글`,spotify:track:3usNq12G6hzghfodcezACn,2015,0.0629,0.817,11,0.816,0.0,0.32,-5.152,0,0.181,101.001,0.832,203821,4,0
14,Bad - INFINITE EFFECT ADVANCE LIVE Version,INFINITE,INFINITE EFFECT ADVANCE LIVE,spotify:track:4pL4I2H3AP2YFUOPq0mAtM,2015,0.277,0.584,7,0.902,0.0,0.347,-4.336,0,0.0599,100.033,0.58,246453,4,0
15,Sugar Sugar,LABOUM,Sugar Sugar,spotify:track:31oxMhBJDshmUwnf5Jsid9,2015,0.045,0.855,7,0.614,0.000382,0.0804,-4.001,1,0.0452,124.051,0.955,206995,4,0
16,ah-ah,TEEN TOP,NATURAL BORN TEEN TOP,spotify:track:6PoVr363vpA321v1a0feTH,2015,0.0314,0.674,11,0.833,0.0,0.0752,-3.824,1,0.0543,128.031,0.41,200217,4,41
17,APOLOGY,iKON,WELCOME BACK,spotify:track:3r8Rot6g36lCLju77c0JNB,2015,0.247,0.665,6,0.771,0.0,0.112,-4.149,1,0.0791,75.003,0.331,231628,4,0
18,Sweet Girl,B1A4,Sweet Girl,spotify:track:5s8LRqSsm28ScVuaTCvvpX,2015,0.103,0.647,0,0.87,0.0,0.0588,-4.249,1,0.0305,116.969,0.722,248987,4,0
19,CUSHION,SONAMOO,CUSHION,spotify:track:1FYThV17kVNzd2iT1zETfv,2015,0.117,0.612,10,0.901,0.0,0.175,-2.435,0,0.0873,175.955,0.702,211972,4,0
20,Catch Me If You Can - Korean Version,Girls' Generation,Catch Me If You Can,spotify:track:5mejZAeca4Ry7Sptw7LnvS,2015,0.0154,0.714,9,0.852,0.0,0.135,-2.76,0,0.274,133.989,0.565,225173,4,50
21,Cold Rain,4Minute,Crazy,spotify:track:1AaR6ryv49GKpkRYAoseYt,2015,0.482,0.574,11,0.767,0.0,0.338,-4.233,1,0.0748,172.039,0.541,218520,4,0
22,Sleepless Night,9MUSES,LOST,spotify:track:4tCsrF5eaxTRBDWRBsbGB6,2015,0.157,0.678,2,0.887,1.82e-05,0.09,-2.966,0,0.0388,124.992,0.695,205167,4,0
23,Mind Your Own Business,AILEE,VIVID,spotify:track:6845UkvsRCbN06eDs5Kymy,2015,0.073,0.685,8,0.921,1.88e-05,0.116,-2.357,0,0.142,106.95,0.601,205813,4,41
24,PICK ME,PRODUCE 101,PRODUCE 101 - PICK ME,spotify:track:0nBubVVpnTgA5y5ExFkjeu,2015,0.029,0.685,9,0.935,0.00483,0.519,-2.056,1,0.125,128.024,0.622,226875,4,45
25,It's Okay,BTOB,Complete,spotify:track:4TPXKIuXg411bVMZPZdYZl,2015,0.543,0.581,10,0.777,0.0,0.359,-4.74,1,0.0457,75.995,0.532,253187,4,50
26,Bad Girl,Purfles,Bad Girl,spotify:track:6A0wNkAblbEyOdWIe3UcG5,2015,0.122,0.843,11,0.752,2.12e-06,0.159,-2.836,1,0.0869,120.049,0.724,191220,4,0
27,Playback,PLAYBACK,Playback,spotify:track:5mKOTSN7z2JRPNQ6oBWslz,2015,0.0688,0.663,7,0.817,5.92e-05,0.0258,-3.823,0,0.167,171.988,0.926,192157,4,30
28,Paradise Lost,Gain,Hawwah,spotify:track:1PVluFXbdOTv29475JS2Mj,2015,0.158,0.563,5,0.775,7.16e-05,0.282,-3.341,0,0.0511,141.876,0.434,210613,4,41
29,PARTY,Girls' Generation,Lion Heart - The 5th Album,spotify:track:0uak6K95JcYexDgqHmh5cc,2015,0.111,0.753,10,0.887,1.43e-05,0.0729,-2.975,0,0.0359,122.981,0.946,193814,4,50
30,BAE BAE,BIGBANG,MADE,spotify:track:3CV5ak1oN85Vjx1NHiLK7H,2015,0.0084,0.687,0,0.63,0.0,0.208,-4.914,1,0.0401,140.011,0.402,169482,4,0
31,딱 좋아(Just right),GOT7,Just right,spotify:track:2zSwsJyjrP0G8wUm0eiSuw,2015,0.233,0.76,11,0.781,0.0,0.106,-2.881,0,0.0641,95.97,0.736,222399,4,0
32,Devil,SUPER JUNIOR,DEVIL - SUPER JUNIOR SPECIAL ALBUM,spotify:track:3IQ9FJ2cMVQtger5ZhgCaj,2015,0.133,0.773,4,0.865,0.0,0.052,-3.027,0,0.114,145.003,0.968,216585,4,53
33,The Light,THE ARK,Somebody 4 Life,spotify:track:6VgerqiIeiOoJo9jCP1LJN,2015,0.0659,0.648,7,0.86,0.0,0.25,-3.815,1,0.106,89.962,0.585,181503,4,48
34,Ring My Bell,Girl's Day,Girl's Day Love Second Album,spotify:track:6y0J1inhF2oL9vy23bar3Z,2015,0.152,0.456,4,0.956,0.0,0.072,-2.385,0,0.157,198.101,0.811,198947,4,0
35,Dope,BTS,The Most Beautiful Moment in Life Pt.1,spotify:track:6dr6QeqH62tYUiPezRbinq,2015,0.0483,0.619,10,0.889,0.0,0.324,-3.108,0,0.219,77.058,0.622,240021,4,0
36,Cause I'm God Girl (Feat. Il Hoon Jung Of BTOB),HyunA,A+,spotify:track:0AgMJriVSGWjN8WLaCqnDv,2015,0.00472,0.843,4,0.833,0.00114,0.29,-3.32,0,0.226,102.128,0.681,202547,4,54
37,완전 미쳤네 - Korean Version,T-ARA,So Good,spotify:track:0NN8ReY7yoj3eAT3vMHSNq,2015,0.14,0.7,5,0.979,0.000131,0.197,-0.316,0,0.0374,133.987,0.962,199234,4,0
38,Pepe,CLC,First Love,spotify:track:7hfkfRyPQqdf5PG3HuJU5P,2015,0.0684,0.879,4,0.846,0.0,0.0816,-2.31,0,0.0374,129.984,0.966,197506,4,0
39,Zero For Conduct,Block B - BASTARZ,Zero For Conduct,spotify:track:2oO9xKPU8vkd02W3yOhv5v,2015,0.0783,0.579,1,0.938,0.0,0.385,-3.136,1,0.223,157.02,0.632,193692,4,50
40,View,SHINee,Odd - The 4th Album,spotify:track:46E1ic6n099e76t5J1TbHn,2015,0.04,0.728,6,0.801,0.0,0.0415,-4.428,0,0.0439,123.953,0.656,190821,4,62
41,IF YOU,BIGBANG,MADE,spotify:track:6jjd5vJtgKwzMtxJeTlLqH,2015,0.524,0.669,1,0.447,0.0,0.167,-6.271,1,0.0305,141.808,0.17,264281,4,0
