,title,artist,album,uri,year,acousticness,danceability,key,energy,instrumentalness,liveness,loudness,audio_mode,speechiness,tempo,valence,duration_ms,time_signature,song_popularity
0,Rewind - Korean Version,ZHOUMI,Rewind -The 1st Mini Album,spotify:track:422xMuD8HLBB8bKMG6fXI1,2014,0.0164,0.808,7,0.638,0.0,0.104,-4.834,1,0.0614,97.942,0.601,212034,4,30
1,Fxxk U (feat.Bumkey),Gain,Truth or Dare,spotify:track:3Mh1qIRhKi7g6ZlMvtgAGn,2014,0.351,0.857,11,0.639,1.53e-05,0.0873,-5.508,0,0.0394,128.051,0.834,217078,4,32
2,Some (feat. Lil Boi),SOYOU,Some,spotify:track:0g1AmSKokPboFrxmG1dxKx,2014,0.446,0.738,11,0.676,0.0,0.253,-3.025,0,0.0507,95.04,0.961,211375,4,63
3,Last Romeo,INFINITE,Be Back,spotify:track:0FSCfcL0QJgyWSeGy0abut,2014,0.0581,0.604,11,0.973,1.49e-06,0.232,-1.324,0,0.0543,122.064,0.804,196885,4,0
4,공허해 empty,WINNER,2014 S/S,spotify:track:7zgabC90KSPZZwNjfZeTqo,2014,0.146,0.568,0,0.698,0.0,0.262,-6.618,1,0.0445,90.119,0.568,220358,4,0
5,Without you,Lee Michelle,Without you,spotify:track:74Ud6xniAWt53OwQxuZlkA,2014,0.134,0.525,8,0.836,6.4e-06,0.0976,-3.961,1,0.0518,154.071,0.599,217992,4,17
6,Eternity,VIXX,Chained Up,spotify:track:6RsPfUaMgpQcdfYAEb7kdi,2014,0.13,0.586,0,0.942,0.0,0.217,-2.791,0,0.0848,129.088,0.366,183979,4,0
7,12:30,Beast,Time,spotify:track:0uvl4TuFhdWZshHX9Hd6kI,2014,0.346,0.637,1,0.792,0.0,0.0743,-2.932,1,0.033,99.909,0.536,233848,3,49
8,You're So Fly,BTOB,Move,spotify:track:5MYdcegiD7t4fgp8YEdyGD,2014,0.102,0.818,11,0.889,0.0,0.366,-1.359,0,0.0793,115.976,0.963,206106,4,32
9,JACKPOT,Block B,HER,spotify:track:1T03TbRPcIMuqRLGKD5oRS,2014,0.0575,0.69,9,0.952,0.0,0.0538,-2.011,0,0.345,130.069,0.726,193302,4,47
