,title,artist,album,uri,year,acousticness,danceability,key,energy,instrumentalness,liveness,loudness,audio_mode,speechiness,tempo,valence,duration_ms,time_signature,song_popularity
0,Far away… Young love,C-CLOWN,Young Love,spotify:track:3sm4Y7jIMFIFsviVYo9xXr,2012,0.139,0.637,7,0.803,0.0,0.585,-3.481,1,0.112,183.96,0.737,224549,4,39
1,MAMA,EXO-K,Mama - The 1st Mini Album,spotify:track:1EvB6tE5CHluLZaWm3r0bT,2012,0.00515,0.629,0,0.963,0.0,0.262,-3.889,1,0.112,90.015,0.528,270453,4,58
2,Believe,U-KISS,U-KISS JAPAN BEST COLLECTION 2011-2016,spotify:track:1EJZXNuEd5eawgjUEOf8ip,2012,0.216,0.476,1,0.568,0.0,0.0894,-7.355,1,0.0453,71.769,0.297,284713,4,10
3,"1, 2, 3, 4",LeeHi,"1,2,3,4",spotify:track:6sKRxuwxnbkMqJ2G78V8e1,2012,0.364,0.905,5,0.649,0.0,0.0881,-4.116,1,0.0473,115.962,0.955,214274,4,0
4,DORADORA - Japanese ver. U-KISS JAPAN BEST LIVE TOUR 2016〜5th Anniversary Special,U-KISS,U-KISS JAPAN BEST LIVE TOUR 2016〜5th Anniversary Special〜,spotify:track:6tEjJ7HebN1nNrKptoFUQh,2012,0.00757,0.598,1,0.738,0.0,0.0843,-9.763,1,0.0491,114.991,0.29,118396,4,4
5,Ice Cream (Feat. Maboos),HyunA,Melting,spotify:track:6TBGYsimcC1FarPc0I7AYN,2012,0.131,0.814,11,0.924,0.0,0.279,-2.634,1,0.0519,120.015,0.967,195788,4,44
6,News,9MUSES,Sweet Rendezvous,spotify:track:42zubpWZD2XGcq5ZfMw0Ol,2012,0.0634,0.68,3,0.973,2.1e-06,0.122,-1.3,0,0.0866,122.976,0.579,182256,4,21
7,Catch Me - Live,TVXQ!,THE 4th WORLD TOUR 'Catch Me' LIVE ALBUM,spotify:track:2jZROo6qGuNBg630bDSvfE,2012,0.0122,0.621,6,0.933,8.57e-05,0.934,-3.32,0,0.0538,127.965,0.186,278708,4,29
8,Venus,HELLOVENUS,1st Mini Album `Venus`,spotify:track:16ZeZxGqGkBqCSbmdxWWla,2012,0.045,0.659,6,0.94,0.0,0.285,-1.017,1,0.161,146.061,0.672,178107,4,0
9,Fantastic Baby,BIGBANG,ALIVE,spotify:track:7bB3eTpZ7ecuN7C7dTQomt,2012,0.002,0.726,2,0.841,0.0,0.0649,-3.924,1,0.0545,130.012,0.582,230573,4,0
10,That XX,G-DRAGON,One of a Kind,spotify:track:2QYFbs7kZMe0L4d7soRp06,2012,0.533,0.763,4,0.47,0.0,0.133,-5.642,0,0.0433,119.885,0.801,199629,4,0
11,The Shadow,BoA,Only One - The 7th Album,spotify:track:55E1jcyUeZybCSnz6EDxQn,2012,0.285,0.886,3,0.841,0.000532,0.182,-3.23,0,0.0347,104.023,0.925,200419,4,32
12,No Mercy,B.A.P,NO MERCY,spotify:track:2QC1nTD3lD5ALOH1VItV5Z,2012,0.0178,0.607,11,0.897,0.0,0.128,-4.053,0,0.213,172.089,0.522,213656,4,0
13,LIPSTICK,Orange Caramel,LIPSTICK,spotify:track:1fSQVc8qsBj6mYTkEdfK8s,2012,0.00689,0.805,1,0.876,5.34e-05,0.345,-4.049,1,0.13,125.939,0.641,201221,4,45
14,DAY BY DAY,T-ARA,DAY BY DAY,spotify:track:2DkL5Jaz5l47TksGuZ0y33,2012,0.702,0.757,1,0.637,8.83e-06,0.209,-3.137,0,0.0465,117.961,0.675,209880,4,0
15,Heaven,AILEE,Invitation,spotify:track:7nhdz5V0wEnvskcmZodhJk,2012,0.64,0.465,7,0.825,0.0,0.13,-2.911,1,0.096,89.777,0.398,211827,4,0
16,POISON,Secret,POISON,spotify:track:2r5xY48FMJ35oD3lKXl9eB,2012,0.00873,0.653,11,0.881,0.0,0.0699,-4.71,1,0.0319,102.046,0.55,207256,4,40
17,Warrior,B.A.P,Best. Absolute. Perfect,spotify:track:7sEunlFZT807gxTBBeubEc,2012,0.0239,0.699,9,0.897,2.19e-06,0.154,-3.078,1,0.0988,105.634,0.336,244603,4,0
18,Only One,BoA,Only One - The 7th Album,spotify:track:3Hyl7YrOtBcnh1geON2kSO,2012,0.136,0.641,0,0.645,0.000145,0.145,-6.54,1,0.0366,90.027,0.546,217085,4,55
19,FACE,NU'EST,"NU'EST The First Album ""Re:BIRTH""",spotify:track:60oyvXjv0nwZnRrwZvZqUm,2012,0.0226,0.789,0,0.88,0.0,0.386,-3.235,0,0.064,123.97,0.615,220135,4,53
20,SEXY LOVE,T-ARA,MIRAGE,spotify:track:6s6ZgLs7qexSGgzN4lrLQA,2012,0.00659,0.756,9,0.915,3.06e-06,0.0389,-1.858,0,0.0368,132.059,0.949,227360,4,0
21,Russian Roulette,Spica,Russian Roulette,spotify:track:6bWBhxPaEXV75mfakwcZpV,2012,0.0954,0.361,1,0.955,0.0,0.187,-2.384,1,0.328,196.307,0.575,210077,4,16
22,Irresistible Lips,BTOB,Born TO Beat (Asia Special Edition),spotify:track:5tU0cI0qG1YCxnl0GIVMzk,2012,0.00358,0.586,10,0.874,0.0,0.0946,-4.606,1,0.0586,133.051,0.188,228362,4,39
23,I'll Be There,Spica,I'll Be There,spotify:track:3KcX1ht2R6M0AoNauuLTYe,2012,0.0793,0.802,0,0.889,0.0,0.509,-3.82,1,0.0815,109.994,0.878,186514,4,30
24,Bloom,Gain,Talk about S.,spotify:track:3lcdPSfDGg11Qyimx2ONYH,2012,0.0735,0.8,1,0.947,0.0,0.327,-1.97,1,0.1,123.975,0.76,227683,4,38
25,Blue,BIGBANG,ALIVE,spotify:track:6EY5igURAXBCEen56oKUif,2012,0.0595,0.609,7,0.706,0.0,0.056,-7.275,1,0.0852,124.989,0.358,233099,4,0
26,WHOZ THAT GIRL,EXID,HOLLA,spotify:track:5wzdAEtPFXYmtXncGpJfAs,2012,0.0117,0.739,1,0.874,0.0,0.0319,-2.333,1,0.101,127.894,0.787,210077,4,35
27,Electric Shock,f(x),Electric Shock - The 2nd Mini Album,spotify:track:7tMN6iGJMulMFpSCeU7pmU,2012,0.0927,0.757,5,0.898,7.85e-06,0.493,-1.632,0,0.0327,125.029,0.537,196947,4,55
28,Please don’t…,K.Will,The 3rd Album Part.1,spotify:track:5dh87xGcp4YqDFBc86Mh47,2012,0.44,0.698,11,0.694,3.96e-06,0.308,-5.5,0,0.0321,94.998,0.489,212976,4,52
29,TICKET,9MUSES,Sweet Rendezvous,spotify:track:1reyTvv0hsQkiuiB0InYrv,2012,0.207,0.537,10,0.977,0.0,0.178,-0.553,0,0.136,175.978,0.752,192026,4,37
30,Lovey-Dovey,T-ARA,Funky Town,spotify:track:4CpfcvoNDEEcIPYoJDS0Vl,2012,0.0704,0.796,6,0.742,0.0,0.0632,-4.117,0,0.0631,128.063,0.545,215249,4,0
31,Bad Boy,BIGBANG,ALIVE,spotify:track:7y5A8vrNHTYGMyEBmEcTqt,2012,0.0148,0.457,9,0.764,0.0,0.126,-4.859,0,0.244,73.911,0.359,236817,4,0
32,Flashback,After School,AFTERSCHOOL 5th Maxi-Single (Korea Release),spotify:track:1XX7qmxpxVj504Q6Iox4ac,2012,0.0643,0.714,1,0.854,0.0,0.074,-3.349,1,0.0805,130.013,0.647,195933,4,41
33,WOW,BTOB,Press Play,spotify:track:21CJvM7HXrI80aDHz2MES4,2012,0.004,0.741,9,0.959,1.23e-05,0.355,-1.414,1,0.0571,110.016,0.41,217887,4,51
34,Loving U,SISTAR,Summer Special 'Loving U',spotify:track:65w0pdINTiQjWBaE4Rws9Y,2012,0.188,0.687,9,0.857,0.0,0.306,-2.084,1,0.0753,124.999,0.906,217966,4,50
35,Painkiller,Spica,Painkiller,spotify:track:1YfnJwiVt8NSmIKhGllMR9,2012,0.00912,0.476,6,0.801,1.12e-05,0.117,-1.904,0,0.0416,159.747,0.261,251328,4,26
36,Dancing Queen,Girls' Generation,I GOT A BOY - The 4th Album,spotify:track:4NPyIBhauz5l8elysRS1mE,2012,0.405,0.717,0,0.917,1.88e-06,0.151,-1.691,1,0.0322,129.985,0.961,215280,4,44
37,History,EXO-K,Mama - The 1st Mini Album,spotify:track:3AmxvnqctdvnJnyNPaHTbv,2012,0.000252,0.753,1,0.808,0.000194,0.0371,-3.264,1,0.0812,110.856,0.603,209801,4,52
38,Vista,FIESTAR,VISTA,spotify:track:5DdwHgxiNl4ZjR44HyEouO,2012,0.0348,0.718,1,0.953,0.0,0.121,-1.831,1,0.149,120.97,0.377,210521,4,30
39,I Feel Good,EXID,HIPPITY HOP,spotify:track:5jqoX3ef81vRkV7vOSppek,2012,0.037,0.711,11,0.852,0.0,0.468,-1.909,0,0.0574,130.034,0.534,207282,4,36
40,Don't forget me,Girl's Day,Girl's Day Party #5,spotify:track:3AVV7Woo13nVgAkAp1Y64J,2012,0.106,0.623,0,0.972,0.0,0.328,-0.348,0,0.0765,133.825,0.633,190433,4,0
