artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,duration_ms,popularity,sentiment,key_0.0,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0,audio_mode_0.0,audio_mode_1.0,time_signature_3.0,time_signature_4.0,time_signature_5.0
EXO-K,0.00515,0.629,0.963,0.0,0.262,-3.889,0.112,90.015,0.528,270453.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
U-KISS,0.216,0.476,0.568,0.0,0.0894,-7.355,0.0453,71.769,0.297,284713.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
LeeHi,0.364,0.905,0.649,0.0,0.0881,-4.116,0.0473,115.962,0.955,214274.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
U-KISS,0.00757,0.598,0.738,0.0,0.0843,-9.763,0.0491,114.991,0.29,118396.0,0.0,0.37337662337662336,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
HyunA,0.131,0.814,0.924,0.0,0.279,-2.634,0.0519,120.015,0.967,195788.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
9MUSES,0.0634,0.68,0.973,2.1e-06,0.122,-1.3,0.0866,122.976,0.579,182256.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
HELLOVENUS,0.045,0.659,0.94,0.0,0.285,-1.017,0.161,146.061,0.672,178107.0,0.0,0.13636363636363635,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
BIGBANG,0.002,0.726,0.841,0.0,0.0649,-3.924,0.0545,130.012,0.582,230573.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
G-DRAGON,0.533,0.763,0.47,0.0,0.133,-5.642,0.0433,119.885,0.801,199629.0,0.0,0.4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
BoA,0.285,0.886,0.841,0.000532,0.182,-3.23,0.0347,104.023,0.925,200419.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
B.A.P,0.0178,0.607,0.897,0.0,0.128,-4.053,0.213,172.089,0.522,213656.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Orange Caramel,0.00689,0.805,0.876,5.34e-05,0.345,-4.049,0.13,125.939,0.641,201221.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
T-ARA,0.702,0.757,0.637,8.83e-06,0.209,-3.137,0.0465,117.961,0.675,209880.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
AILEE,0.64,0.465,0.825,0.0,0.13,-2.911,0.096,89.777,0.398,211827.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
