,title,artist,album,uri,year,acousticness,danceability,key,energy,instrumentalness,liveness,loudness,audio_mode,speechiness,tempo,valence,duration_ms,time_signature,song_popularity
19,Fiction,Beast,Fiction And Fact,spotify:track:69QlYqNJeZG14R4an2aoJv,2011,0.223,0.665,7,0.866,0.0,0.373,-3.81,1,0.056,128.041,0.455,234587,4,59
20,Lonely,2NE1,2NE1 2nd Mini Album,spotify:track:1sbYF39RmX7liZ1NNM0GTV,2011,0.23,0.585,4,0.568,0.0,0.138,-2.787,1,0.0271,94.874,0.391,209987,4,0
21,Crazy (feat. Bang Young Kuk),Song Ji Eun,Crazy,spotify:track:5nIV4nCMdIJm4gmsCa587o,2011,0.305,0.542,6,0.712,0.0,0.128,-4.653,1,0.114,169.852,0.235,230728,4,0
22,Roly-Poly,T-ARA,John Travolta Wanna Be,spotify:track:36r4cTfmjVo5JYqNBIcjk6,2011,0.0919,0.832,7,0.848,2.83e-05,0.0458,-7.407,1,0.0545,130.004,0.901,214427,4,0
23,Trouble Maker,Trouble Maker,Trouble Maker,spotify:track:0RP3Qjp1QhIjhtG7gYoBqn,2011,0.0826,0.838,10,0.805,3.77e-06,0.0778,-2.723,0,0.0541,115.026,0.952,219638,4,61
24,Mirror Mirror,4Minute,4minutes Left,spotify:track:3S8s4t16RutXDQJMxTjX4g,2011,0.117,0.751,6,0.916,0.0,0.353,-3.524,1,0.0606,128.067,0.692,216587,4,35
25,Cry Cry,T-ARA,Funky Town,spotify:track:2WuCEjpBwOa1b77sXPSCSH,2011,0.136,0.791,6,0.85,0.057,0.0788,-2.307,0,0.0468,114.98,0.875,197799,4,0
26,Figaro,9MUSES,Sweet Rendezvous,spotify:track:4jzF8sUFdPbZO15334DTKY,2011,0.0094,0.677,8,0.886,0.000811,0.101,-2.709,1,0.0448,117.982,0.918,199576,4,20
27,Be Mine - INFINITE EFFECT ADVANCE LIVE Version,INFINITE,INFINITE EFFECT ADVANCE LIVE,spotify:track:2oC8t1BIDJzArMjeEipSGc,2011,0.0296,0.583,10,0.956,0.0,0.434,-4.117,0,0.119,130.018,0.436,211627,4,0
28,Heart To Heart,4Minute,Heart To Heart,spotify:track:2Vs5y1cLMIbZHUy3E3dhS9,2011,0.403,0.722,6,0.72,0.0,0.0578,-3.531,1,0.0404,129.961,0.548,231549,4,39
29,STEP,KARA,KARA 3rd Album STEP,spotify:track:3YxK7NqMCWDpmrQ82Wvx25,2011,0.0113,0.618,6,0.975,3.09e-06,0.423,-0.883,0,0.128,122.939,0.761,203587,4,56
30,Ugly,2NE1,2NE1 2nd Mini Album,spotify:track:11UlvFPYzGXfxtrGmPxb55,2011,0.196,0.653,8,0.852,0.0,0.212,-2.746,1,0.0782,127.966,0.518,248711,4,0
