,title,artist,album,uri,year,acousticness,danceability,key,energy,instrumentalness,liveness,loudness,audio_mode,speechiness,tempo,valence,duration_ms,time_signature,song_popularity
0,Hug me once,Girl's Day,Expectation,spotify:track:6fckuCDkhEG61njy5leNPj,2011,0.0663,0.684,5,0.935,0.0,0.0554,-2.839,1,0.107,134.942,0.708,194482,4,0
1,O.K,B1A4,Let's Fly,spotify:track:564hx6a6SDGRARmyO94EzA,2011,0.0529,0.635,2,0.89,0.0,0.317,-3.102,1,0.0831,149.972,0.504,213264,4,0
2,Pinocchio (Danger),f(x),Pinocchio -The 1st Album,spotify:track:0fUDzNEPCbjLVyC1OOs5B5,2011,0.117,0.844,11,0.888,0.0,0.328,-1.369,0,0.12,118.023,0.879,191640,4,46
3,BTD (Before The Dawn) - INFINITE EFFECT ADVANCE LIVE Version,INFINITE,INFINITE EFFECT ADVANCE LIVE,spotify:track:3nHXDJL1ZkgNsxMIZ7bRMH,2011,0.17,0.602,10,0.944,0.0,0.743,-3.385,0,0.0531,102.066,0.667,188387,4,0
4,Paradise - INFINITE EFFECT ADVANCE LIVE Version,INFINITE,INFINITE EFFECT ADVANCE LIVE,spotify:track:4fFO8gKgBCSf5aZwwQHhGI,2011,0.188,0.58,10,0.9,0.0,0.498,-4.081,0,0.0975,93.021,0.641,220907,4,0
5,So Cool,SISTAR,SO COOL,spotify:track:4yHrnHRkY8ZEZUHPdsRno2,2011,0.0261,0.75,6,0.944,0.0,0.416,-2.635,0,0.0455,128.015,0.921,201273,4,47
6,Twinkle Twinkle,Girl's Day,Girl's Day Party #3,spotify:track:4iye7rTbuadknViaZl3h2O,2011,0.0437,0.71,8,0.877,0.0,0.295,-2.532,1,0.05,149.986,0.439,186253,4,0
7,Ma Boy,SISTAR19,Ma Boy,spotify:track:1CkTEh21SLHbiAj2qy8wc1,2011,0.353,0.751,7,0.767,2.71e-06,0.289,-4.752,0,0.0577,89.93,0.768,196702,4,59
8,Hot Summer,f(x),Hot Summer - The 1st Album Repackage,spotify:track:1dyMRzKZMakJqmOnsUUZ9X,2011,0.00431,0.769,2,0.966,2.93e-05,0.265,-1.484,1,0.0292,123.019,0.783,225787,4,53
9,Neverland - PREMIUM LIVE - KEVIN'S GRADUATION,U-KISS,U-KISS PREMIUM LIVE -KEVIN'S GRADUATION-,spotify:track:70encxghRBVS06jd05sauq,2011,0.000148,0.54,3,0.966,0.0,0.933,-6.258,0,0.0578,125.979,0.64,204738,4,19
10,Love Is Move,Secret,MOVING IN SECRET,spotify:track:1CpaOwx6drokgCsQV13Ylg,2011,0.036,0.695,9,0.961,2.83e-05,0.0116,-2.516,1,0.117,160.923,0.963,202109,4,32
11,Don't move!,Block B,New Kids on the Block,spotify:track:3O3e32J0nBt1COF6CUCDbL,2011,0.0508,0.765,1,0.937,0.0,0.31,-2.563,1,0.094,125.918,0.901,205800,4,23
12,Hands Up -Japanese ver.-,2PM,REPUBLIC OF 2PM,spotify:track:1phJX6gFJPW8G9Zl3IDYyR,2011,0.0163,0.818,6,0.887,9.56e-05,0.113,-3.33,1,0.0413,124.996,0.626,197147,4,0
13,Mr. Simple,SUPER JUNIOR,Mr. Simple - The 5th Album,spotify:track:6QTBYKLlV2PQniwAWrBV2z,2011,0.000219,0.913,1,0.745,0.00208,0.0622,-2.837,1,0.0506,127.996,0.795,241827,4,59
14,Shampoo,After School,VIRGIN,spotify:track:50JMmvCIMZCniuFeCOsRc4,2011,0.201,0.659,4,0.907,0.0,0.106,-4.525,1,0.0346,126.94,0.628,274756,4,45
15,Stay,MBLAQ,BLAQ Style,spotify:track:0Q2uAamKg36f2KH0NSepT7,2011,0.0013,0.723,4,0.9,0.0,0.0946,-3.363,0,0.0917,129.934,0.48,200556,4,41
16,I Am The Best,2NE1,I Am The Best,spotify:track:26EM9sZnQkLLQxixGd88KE,2011,0.00767,0.819,0,0.844,0.00834,0.056,-3.739,1,0.038,127.997,0.687,208731,4,69
17,Dr. Feel Good,Rania,Dr. Feel Good - Single,spotify:track:23QWj2CyhiUU6KLnmR6yul,2011,0.000658,0.876,1,0.728,0.0,0.0925,-7.354,1,0.0634,124.04,0.499,234815,4,37
18,Mona Lisa,MBLAQ,Mona Lisa,spotify:track:5FPaK0UNFA124uvUMJgIFE,2011,0.0535,0.658,11,0.863,0.0,0.399,-4.96,0,0.0651,127.042,0.796,221532,4,46
