,title,artist,album,uri,year,acousticness,danceability,key,energy,instrumentalness,liveness,loudness,audio_mode,speechiness,tempo,valence,duration_ms,time_signature,song_popularity
0,DNA,BTS,Love Yourself 承 'Her',spotify:track:5SE57ljOIUJ1ybL9U6CuBH,2017,0.022,0.598,1,0.775,0.0,0.0677,-4.035,0,0.0545,129.819,0.687,223123,4,1
2,As If It's Your Last,BLACKPINK,As If It's Your Last,spotify:track:1Zyd6zQnC6XIIzmg3hP7Ot,2017,0.0688,0.786,8,0.853,0.0,0.0759,-2.687,1,0.0816,125.034,0.45,213264,4,0
3,Stay With Me,CHANYEOL,"Guardian (Original Television Soundtrack), Pt. 1",spotify:track:1HYzRuWjmS9LXCkdVHi25K,2017,0.431,0.558,0,0.526,0.0,0.126,-4.686,0,0.033,124.709,0.202,192441,4,75
4,Ko Ko Bop,EXO,THE WAR - The 4th Album,spotify:track:5EzitieoPnjyKHAq0gfRMa,2017,0.0319,0.749,0,0.85,4.81e-05,0.0678,-4.346,1,0.0468,145.983,0.672,190423,4,67
5,Blood Sweat & Tears,BTS,Wings,spotify:track:5RGf8qn1TBWVplLyyKUsuV,2017,0.0244,0.583,0,0.885,0.0,0.357,-3.571,0,0.106,92.959,0.601,217052,4,1
6,BOOMBAYAH,BLACKPINK,SQUARE ONE,spotify:track:3yHQKddM8SVCRnuPSo3HPN,2017,0.00264,0.658,5,0.836,1.02e-06,0.507,-3.282,0,0.0549,124.969,0.387,240849,4,0
9,Beautiful,Crush,"Guardian (Original Television Soundtrack), Pt. 4",spotify:track:6mzF8HvHdVrzJNd8M1uFCS,2017,0.843,0.416,10,0.41,0.0,0.107,-6.146,1,0.0292,110.252,0.219,227584,4,70
10,Spring Day,BTS,You Never Walk Alone,spotify:track:0WNGsQ1oAuHzNTk8jivBKW,2017,0.0063,0.539,8,0.846,1.68e-06,0.13,-3.192,1,0.0354,106.992,0.46,274097,4,1
11,PLAYING WITH FIRE,BLACKPINK,SQUARE TWO,spotify:track:7e7VjLxO5xJINHvnRytrqi,2017,0.0399,0.707,4,0.758,0.0,0.141,-4.511,0,0.0917,97.037,0.674,197355,4,0
13,Don't Recall,KARD,"K.A.R.D Project Vol.2 ""Don't Recall""",spotify:track:4b1sQpvL7QVgamRZ74F1oA,2017,0.0222,0.694,10,0.748,0.0,0.155,-2.93,0,0.167,92.918,0.521,208667,4,54
14,Don't Wanna Cry,SEVENTEEN,SEVENTEEN 4th Mini Album ‘Al1’,spotify:track:6Upu6yjkdi0DVI8E3IBZEU,2017,0.164,0.781,0,0.683,1.53e-06,0.16,-4.258,1,0.0325,100.005,0.722,203427,4,71
15,Not Today,BTS,You Never Walk Alone,spotify:track:4hrpoqJMVE7FxBu1YWx0eQ,2017,0.00181,0.594,8,0.946,1.04e-06,0.923,-3.408,1,0.126,110.024,0.665,231860,4,1
16,WHISTLE,BLACKPINK,SQUARE ONE,spotify:track:7HWmJ1wBecOAMNGjC6SmKE,2017,0.00682,0.822,11,0.712,0.0,0.0955,-4.877,1,0.15,102.874,0.647,211696,4,0
17,Oh NaNa (Hidden. HUR YOUNG JI),KARD,"K.A.R.D Project Vol.1 ""Oh NaNa""",spotify:track:1ZgfAxHQCXLt8o1VXEHHAt,2017,0.0615,0.756,1,0.922,0.000462,0.0723,-2.683,1,0.0539,100.005,0.809,206773,4,54
18,CALL ME BABY,EXO,The 2nd Album ‘EXODUS’,spotify:track:4jdiqVbH1eUwc4MzDV7GMu,2017,0.284,0.692,1,0.886,0.0,0.341,-2.519,1,0.0519,100.03,0.879,211013,4,0
19,Gashina,SUNMI,SUNMI SPECIAL EDITION [Gashina],spotify:track:0jFHMDRXxKaREor3hBEEST,2017,0.0556,0.722,6,0.833,0.0,0.195,-3.915,1,0.094,93.941,0.53,180000,4,67
20,러시안 룰렛 Russian Roulette,Red Velvet,Russian Roulette - The 3rd Mini Album,spotify:track:7AvXrOVEVRcfXxme2wo6Im,2017,0.055,0.726,7,0.903,0.000225,0.158,-2.277,0,0.0357,129.986,0.958,211244,4,0
