,title,artist,album,uri,year,acousticness,danceability,key,energy,instrumentalness,liveness,loudness,audio_mode,speechiness,tempo,valence,duration_ms,time_signature,song_popularity
0,Jopping,SuperM,SuperM - The 1st Mini Album,spotify:track:5WrEilrRI5cIW0DxMvQYPZ,2019,0.0139,0.74,10,0.835,0.0,0.857,-3.425,0,0.0839,123.024,0.535,251293,4,63
1,Feel Special,TWICE,Feel Special,spotify:track:14rWuS6yllHOdfZ8sZsZUj,2019,0.0296,0.709,1,0.959,0.00188,0.107,-1.339,1,0.0603,128.983,0.644,206868,4,63
2,Fear,SEVENTEEN,An Ode,spotify:track:0fToFBFypPz5XMyAdAm7Ay,2019,0.16,0.592,7,0.946,0.0,0.139,-2.699,0,0.327,146.037,0.705,175213,4,0
3,Heartbeat (BTS World Original Soundtrack),BTS,BTS WORLD (Original Soundtrack),spotify:track:5EgYDyMDCi8X0zDydTF7Rb,2019,0.39,0.437,5,0.716,0.0,0.208,-4.306,1,0.05,170.094,0.307,253304,4,66
4,Uh-Oh,(G)I-DLE,Uh-Oh,spotify:track:1OBb2wZMXKNmtdyyejLIyL,2019,0.0586,0.781,11,0.814,0.0,0.118,-3.315,0,0.0648,92.037,0.782,207600,4,62
5,Zimzalabim,Red Velvet,‘The ReVe Festival’ Day 1,spotify:track:0GUbhhI5fRx7BlqlqlhjuB,2019,0.0028,0.68,5,0.878,2.22e-05,0.336,-4.791,0,0.179,127.991,0.531,190860,4,56
6,BIRTHDAY,JEON SOMI,BIRTHDAY,spotify:track:3jsWXhE5NuPWQ4IHplv2zt,2019,0.0163,0.687,7,0.843,9.96e-06,0.0372,-4.242,1,0.109,180.055,0.597,185796,4,0
7,Snapping,CHUNG HA,Flourishing,spotify:track:7JCi89HGiURxFpr6NITY7q,2019,0.0706,0.751,8,0.726,3.42e-06,0.278,-3.499,0,0.038,104.914,0.581,213164,4,0
8,All Night (BTS World Original Soundtrack) [Pt. 3],BTS,All Night (BTS World Original Soundtrack) [Pt. 3],spotify:track:70sKIAQgaVN2zWEEyOpyMZ,2019,0.193,0.725,5,0.706,0.0,0.109,-4.766,1,0.121,120.042,0.667,216874,4,65
9,FANCY,TWICE,FANCY YOU,spotify:track:60zxdAqWtdDu0vYsbXViA7,2019,0.0132,0.699,5,0.866,0.0,0.648,-2.138,0,0.0446,132.023,0.795,213886,4,0
10,Boy With Luv (feat. Halsey),BTS,MAP OF THE SOUL : PERSONA,spotify:track:5KawlOMHjWeUjQtnuRs22c,2019,0.0923,0.645,11,0.862,0.0,0.192,-4.757,0,0.0965,119.991,0.798,229773,4,6
11,Mikrokosmos,BTS,MAP OF THE SOUL : PERSONA,spotify:track:5hnbE5BF2e8BCk9OMR1UVC,2019,0.125,0.58,8,0.858,0.0,0.0502,-5.212,1,0.114,174.039,0.475,224225,3,1
12,Don't Know What To Do,BLACKPINK,Kill This Love,spotify:track:7ibZWzytUh41z5ycK2I5N8,2019,0.0992,0.628,6,0.64,0.0,0.138,-4.164,0,0.0491,129.815,0.409,201081,4,0
13,Kill This Love,BLACKPINK,Kill This Love,spotify:track:0M98PvIvx7vZ8LDpzMw1hB,2019,0.318,0.738,2,0.861,0.00182,0.325,-4.141,1,0.237,131.98,0.58,189052,4,0
14,"Domino (feat. Crush) (Prod. Crush, Gxxd)",1THE9,"Domino (Feat. Crush) (Prod. Crush, Gxxd)",spotify:track:0xrX9ZarxssZpNBfcnyuPl,2019,0.143,0.615,9,0.881,0.0,0.133,-4.011,0,0.0777,127.954,0.751,209312,4,31
15,BANANA CHACHA,MOMOLAND,BANANA CHACHA,spotify:track:5rEkbyBhnuVXLfe6yp8f3b,2019,0.11,0.856,0,0.946,8.98e-05,0.124,-2.238,1,0.0958,139.986,0.896,134101,4,44
