,title,artist,album,uri,year,acousticness,danceability,key,energy,instrumentalness,liveness,loudness,audio_mode,speechiness,tempo,valence,duration_ms,time_signature,song_popularity
33,U & I,AILEE,A`s Doll House,spotify:track:1wKOJ2fTflDiABy1EbFflM,2013,0.0346,0.65,2,0.877,0.0,0.334,-1.918,0,0.0398,107.878,0.906,194713,4,47
34,Expect,Girl's Day,Expectation,spotify:track:2VfxCtWtDJGNKetJvGTWZT,2013,0.135,0.722,0,0.947,0.0,0.348,-1.378,1,0.0941,126.989,0.797,195056,4,0
35,First Love,After School,After School The 6th Maxi Single 'First Love',spotify:track:2LdOm1BBfBbQjw9LrqmfuC,2013,0.135,0.689,4,0.851,0.0,0.263,-2.96,0,0.0594,89.99,0.672,217738,4,45
36,FEMALE PRESIDENT,Girl's Day,"The First Album Repackage ""FEMALE PRESIDENT""",spotify:track:76DQZImtwZJqE2We7TNxzF,2013,0.0606,0.767,11,0.909,1.43e-06,0.301,-1.18,1,0.0531,109.958,0.515,212640,4,0
37,ONE SHOT,B.A.P,ONE SHOT,spotify:track:3ECzwLt2OYNXjLMeTnYzp2,2013,0.0219,0.58,2,0.937,0.0136,0.0667,-2.841,0,0.0905,95.09,0.452,237923,4,49
38,Glue,9MUSES,GLUE,spotify:track:36lFulbJqaHgJBxR2rYshO,2013,0.239,0.714,4,0.97,0.0,0.65,-2.244,0,0.102,128.092,0.838,192130,4,37
39,삐딱하게 (Crooked),G-DRAGON,COUP D'ETAT,spotify:track:2r2gvUBwEOiE2IRs24oK9G,2013,0.00191,0.665,2,0.919,0.0,0.0588,-3.211,1,0.0921,129.961,0.783,224793,4,0
40,GUN,9MUSES,PRIMA DONNA,spotify:track:6Xa6Wg7Izxp97tFnEkOApR,2013,0.0628,0.581,1,0.944,0.0,0.166,-2.439,0,0.0667,142.97,0.947,177672,4,35
41,넘버나인,T-ARA,Again,spotify:track:6kdrdb4xGK5njn4ITYadZz,2013,0.0102,0.756,1,0.835,2.13e-06,0.05,-3.697,0,0.04,127.986,0.506,228725,4,0
42,Miracles in December,EXO,Miracles in December,spotify:track:7HrCnwDvbtCKSZtpNDmII9,2013,0.677,0.587,8,0.314,0.0,0.137,-7.62,1,0.0313,119.797,0.211,273288,4,52
43,Growl,EXO,The 1st Album 'XOXO' (Repackage),spotify:track:4pi0Elz7B7cLfw37J3bYm9,2013,0.145,0.681,11,0.814,0.0,0.556,-2.83,0,0.0603,89.993,0.876,207053,4,66
44,Now,Trouble Maker,Chemistry,spotify:track:6S5QQ4byCmcm7OcgG3vsyZ,2013,0.39,0.694,2,0.9,4.81e-06,0.27,-3.31,0,0.0393,117.94,0.6,218697,4,51
45,Love Options,BESTie,Hot Baby,spotify:track:1FakZVUIMvQfLzUlYfmSAz,2013,0.0627,0.756,7,0.899,0.0,0.118,-3.184,0,0.031,122.98,0.914,192070,4,34
46,Wild,9MUSES,WILD,spotify:track:3hgOyrjBko4gPQRCZjedDU,2013,0.0253,0.698,3,0.94,0.0,0.25,-2.551,0,0.086,132.933,0.839,184660,4,42
47,Give it to me,SISTAR,Give It To Me (2),spotify:track:1t88m8JUlqn9kf0FLmVta5,2013,0.176,0.719,7,0.945,0.0,0.576,-2.085,0,0.0424,136.045,0.961,201326,4,57
48,Dolls,9MUSES,DOLLS,spotify:track:1XxT5GxDa5GD8hnhTK2AD6,2013,0.109,0.644,1,0.928,1.69e-06,0.22,-2.662,0,0.0954,110.011,0.838,206498,4,44
49,Confused,AOA,RED MOTION,spotify:track:7iea4HvjK3AkOajKDUUR2Z,2013,0.313,0.832,11,0.862,0.0,0.176,-2.675,0,0.112,116.996,0.699,222940,4,39
