,title,artist,album,uri,year,acousticness,danceability,key,energy,instrumentalness,liveness,loudness,audio_mode,speechiness,tempo,valence,duration_ms,time_signature,song_popularity
0,WANNABE,ITZY,IT'z ME,spotify:track:4pspYVQGFHLPEFgQPD1J7e,2020,0.00795,0.809,6,0.911,0.000179,0.181,-4.41,0,0.0617,122.035,0.64,191242,4,75
1,Psycho,Red Velvet,‘The ReVe Festival’ Finale,spotify:track:3CYH422oy1cZNoo0GTG1TK,2020,0.193,0.664,8,0.666,0.0,0.0854,-2.203,1,0.0446,139.987,0.405,210560,4,78
2,How You Like That,BLACKPINK,THE ALBUM,spotify:track:4SFknyjLcyTLJFPKD2m96o,2020,0.0465,0.812,11,0.761,0.000135,0.0601,-5.222,1,0.0812,130.032,0.344,182956,4,79
3,DUN DUN,EVERGLOW,reminiscence,spotify:track:3ejAkJLWQSEJDqDXxK3efB,2020,0.0457,0.692,11,0.881,4.45e-06,0.146,-2.563,0,0.0461,103.053,0.432,192280,4,68
4,MORE & MORE,TWICE,MORE & MORE,spotify:track:3omvXShuRPM3zbDpWYqf5g,2020,0.0312,0.739,5,0.841,0.0,0.173,-4.162,1,0.06,106.99,0.562,199653,4,69
5,Maria,Hwa Sa,María,spotify:track:0ZeGfEAL5Rl4pd5LZBGuEK,2020,0.238,0.658,9,0.749,2.03e-06,0.272,-2.967,0,0.0634,128.909,0.442,199027,4,73
6,HIP,MAMAMOO,reality in BLACK,spotify:track:24nK8tW7Pt3Inh2utttuoG,2020,0.0376,0.782,3,0.731,3.15e-05,0.0956,-4.581,0,0.143,138.032,0.824,195307,4,72
7,Feel Special,TWICE,Feel Special,spotify:track:3Hz3tTQwOdM6XkA0ALB2G9,2020,0.0296,0.708,1,0.959,0.00188,0.107,-1.338,1,0.0604,128.981,0.644,206867,4,74
8,eight(Prod.&Feat. SUGA of BTS),IU,eight,spotify:track:0pYacDCZuRhcrwGUA5nTBe,2020,0.115,0.676,1,0.869,0.0,0.132,-1.573,1,0.0423,120.029,0.594,167573,4,74
9,ON (Feat. Sia),BTS,MAP OF THE SOUL : 7,spotify:track:4JWbH50WabthGhmtduR8b9,2020,0.137,0.591,9,0.848,0.0,0.372,-4.396,0,0.0828,105.924,0.385,246816,4,59
